3380070	Village Brésilien	Village Bresilien	Village Bresilien,Village Brésilien	5.14971	-52.64759	P	PPLX	GF		GF	973	9731	97304	0		3	America/Cayenne	2016-06-22
3380071	Adnet	Adnet	Adnet,Village Adnet	4.25215	-52.25063	L	LCTY	GF		00				0		32	America/Cayenne	2015-06-08
3380072	Villaflore	Villaflore	Villaflore	4.1244	-52.37582	L	LCTY	GF		00				0		54	America/Cayenne	2015-06-08
3380073	Savane Viguié	Savane Viguie	Savane Viguie,Savane Viguié	5.26679	-52.95733	V	GRSLD	GF		00				0		8	America/Cayenne	2015-07-03
3380074	Crique Viguié	Crique Viguie	Crique Viguie,Crique Viguié	5.45494	-53.21669	H	STM	GF		00				0		22	America/Cayenne	2015-07-03
3380075	Pointe Vigie	Pointe Vigie	Pointe Vigie	4.05845	-51.65888	T	PT	GF		GF	973	9731	97308	0		18	America/Cayenne	2016-06-22
3380076	Vieux Grand-Santi	Vieux Grand-Santi	Grand Santi,Vieux Grand-Santi	4.31904	-54.38663	P	PPL	GF		GF	973	9732	97357	0		61	America/Cayenne	2016-06-22
3380077	Vierge des Trois Tonneaux	Vierge des Trois Tonneaux	Vierge des Trois Tonneaux	4.90313	-53.21849	L	LCTY	GF		00				0		163	America/Cayenne	2015-07-03
3380078	Saut Victorin	Saut Victorin	Saut Victorin	3.7468	-52.77332	H	RPDS	GF		00				0		113	America/Cayenne	2015-06-08
3380079	Crique Victorin	Crique Victorin		3.74865	-52.78659	H	STM	GF		00				0		108	America/Cayenne	2011-04-19
3380080	Crique Victor	Crique Victor	Crique Victor	4.24945	-52.21516	H	STM	GF		00				0		24	America/Cayenne	2015-06-08
3380081	Victor	Victor		4.93043	-52.31264	P	PPLX	GF		GF	973	9731	97302	0		15	America/Cayenne	2016-06-22
3380082	Vichy	Vichy	Vichy	4.20528	-52.81425	L	LCTY	GF		00				0		138	America/Cayenne	2015-06-08
3380083	Île Verte	Ile Verte	Ile Verte,Île Verte	5.37883	-52.87204	T	ISL	GF		00				0		9	America/Cayenne	2015-07-03
3380084	Crique Verte	Crique Verte	Crique Verte	5.11807	-53.04611	H	STM	GF		00				0		27	America/Cayenne	2015-07-03
3380085	Crique Véro	Crique Vero	Crique Vero,Crique Véro	4.54458	-54.11427	H	STM	GF		00				0		73	America/Cayenne	2015-09-06
3380086	Crique Verlot	Crique Verlot	Crique Verlot	5.30207	-52.95637	H	STM	GF		00				0		16	America/Cayenne	2015-07-03
3380087	Saut Verdun	Saut Verdun	Saut Verdun,Sauts Verdun	3.04581	-53.216	H	RPDS	GF		00				0		165	America/Cayenne	2015-06-08
3380088	Crique Verdun	Crique Verdun	Crique Verdun	3.01715	-53.18659	H	STM	GF		00				0		170	America/Cayenne	2015-06-08
3380089	Crique Vénus	Crique Venus	Crique Venus,Crique Vénus	5.18928	-52.97704	H	STM	GF		00				0		23	America/Cayenne	2015-07-03
