2783102	Zwarte Winterbeek	Zwarte Winterbeek		50.94857	5.17107	H	STM	BE		VLG	VLI			0		21	Europe/Brussels	2011-02-07
2783103	Zwarte Waterbeek	Zwarte Waterbeek	Grootebeek,Grote Beek,Zwarte Waterbeek	51.03333	4.53333	H	STM	BE		VLG				0		4	Europe/Brussels	2012-01-18
2783104	Zwarte Poort	Zwarte Poort	Zwarte Poort,Zwarte Poorthof	50.78333	4.28333	S	FRM	BE		WAL	WHT			0		26	Europe/Brussels	2010-08-09
2783105	Zwarten Ruiter	Zwarten Ruiter		51.18782	3.97402	P	PPL	BE		VLG	VOV	44	44045	0		4	Europe/Brussels	2016-08-02
2783106	Zwartenhoek	Zwartenhoek	Zwarte Hoek,Zwartenhoek	51.09335	5.11949	P	PPL	BE		VLG	VLI	71	71069	0		24	Europe/Brussels	2016-08-02
2783107	Zwartenheuvel	Zwartenheuvel		51.38882	4.4529	P	PPL	BE		VLG	VAN	11	11022	0		20	Europe/Brussels	2016-08-02
2783108	Zwartengracht	Zwartengracht		51.15	3.93333	H	DTCH	BE		VLG	VOV			0		3	Europe/Brussels	2010-03-06
2783109	Zwarte Nete	Zwarte Nete	Nethe Noire Ruisseau,Zwarte Neet,Zwarte Nete	51.2487	5.07816	H	STM	BE		VLG	VAN			0		22	Europe/Brussels	2012-01-18
2783110	Zwartenbroek	Zwartenbroek		50.88333	3.73333	P	PPL	BE		VLG	VOV	45	45065	0		42	Europe/Brussels	2016-08-02
2783111	Zwarteleen	Zwarteleen		50.82637	2.92895	P	PPL	BE		VLG	VWV	33	33011	0		53	Europe/Brussels	2016-08-02
2783112	Zwarteinde	Zwarteinde		50.88945	5.23911	P	PPL	BE		VLG	VLI	71	71045	0		56	Europe/Brussels	2016-08-02
2783113	Zwartegat	Zwartegat		50.97605	3.65825	P	PPL	BE		VLG	VOV	44	44048	0		9	Europe/Brussels	2016-08-02
2783114	Zwartegat	Zwartegat		50.98085	2.91638	P	PPL	BE		VLG	VWV	32	32006	0		11	Europe/Brussels	2016-08-02
2783115	Zwartebeek	Zwartebeek	Agatbeek,Zwartebeek	51.08333	4.38333	H	STM	BE		VLG				0		4	Europe/Brussels	2012-01-18
