935189	Ravine Sèche	Ravine Seche		-21.13629	55.58549	H	STM	RE		00				0		1209	Indian/Reunion	2011-04-19
935190	Ravine Sèche	Ravine Seche		-21.11667	55.58333	H	STM	RE		00				0		1238	Indian/Reunion	1993-12-22
935191	Ravine Sèche	Ravine Seche		-21.05023	55.73217	H	STM	RE		00				0		8	Indian/Reunion	2011-04-19
935192	Ravine Sèche	Ravine Seche		-21.03333	55.5	H	STM	RE		00				0		945	Indian/Reunion	1993-12-22
935193	Ravine Sèche	Ravine Seche		-21.01284	55.51078	H	STM	RE		00				0		805	Indian/Reunion	2011-04-19
935194	Ravine Sèche	Ravine Seche		-20.94377	55.64503	H	STM	RE		00				0		47	Indian/Reunion	2011-04-19
935195	Bras Sec	Bras Sec		-21.35068	55.65497	H	STM	RE		00				0		257	Indian/Reunion	2011-04-19
935196	Bras Sec	Bras Sec		-21.22478	55.50337	H	STM	RE		00				0		642	Indian/Reunion	2011-04-19
935197	Îlet Savannah	Ilet Savannah		-20.97139	55.33068	T	ISL	RE		00				0		126	Indian/Reunion	2011-04-19
935198	Savannah	Savannah	Savannah,Savannah Usine	-20.98772	55.29763	P	PPL	RE		RE	974	9744	97415	0		13	Indian/Reunion	2016-06-22
935199	Ravine Savane Cimetière	Ravine Savane Cimetiere		-21.17824	55.71763	H	STM	RE		00				0		1502	Indian/Reunion	2011-04-19
935200	Piton Sartave	Piton Sartave		-20.95624	55.39761	T	PK	RE		RE	974	9744	97408	0		1240	Indian/Reunion	2016-06-22
935201	Plateau Sarabe	Plateau Sarabe		-20.98	55.60483	T	UPLD	RE		00				0		438	Indian/Reunion	2011-04-19
935202	Caverne Sapent	Caverne Sapent		-20.98737	55.43857	S	CAVE	RE		RE	974	9741	97411	0		1743	Indian/Reunion	2016-06-22
935203	Montée Sano	Montee Sano		-20.95181	55.53665	T	MT	RE		RE	974	9741	97418	0		654	Indian/Reunion	2016-06-22
935204	Source Samary	Source Samary		-21.15	55.53333	H	SPNG	RE		00				0		1443	Indian/Reunion	1993-12-22
